id,id_objecta,id_spr_etap_rabot,id_otvetstvennogo,id_avtor,data_nachala_rabot,data_okonchaniya_rabot,document_number,srok_dney,comment,status
5000,1110223,10,14,14,2012-07-24,2012-05-04,,,," ? ??????"
5001,1110281,12,13,13,2012-06-20,2012-06-01,2993-??,,," ? ??????"
5002,1110291,12,13,13,2012-06-20,2012-06-01,2993-??,,," ? ??????"
5003,1110491,44,20,20,2012-10-11,2012-10-11,,,," ? ??????"
5004,1110881,44,20,20,2012-10-11,2012-10-11,,,," ? ??????"
5005,1110901,10,14,14,2012-06-08,2012-06-07,,,," ? ??????"
5006,1110981,11,14,14,2012-07-20,2011-10-18,,,," ? ??????"
5007,1110991,49,14,14,2012-11-23,2012-11-23,,,," ? ??????"
5008,1111071,78,14,14,2012-06-07,2011-11-15,,,," ? ??????"
5009,1111151,78,14,14,2012-06-07,2012-01-31,,,," ? ??????"
5010,1111161,78,14,14,2012-06-07,2012-01-31,,,," ? ??????"
5011,1111171,78,14,14,2012-06-07,2012-01-31,,,," ? ??????"
5012,1111231,78,14,14,2012-06-07,2011-10-03,,,," ? ??????"
5013,1111611,57,21,21,2013-12-09,2013-12-09,,,," ? ??????"
5014,1111651,11,14,14,2012-07-20,2011-09-20,,,," ? ??????"
5015,1111652,11,14,14,2012-07-20,2011-11-14,,,????????," ? ??????"
5016,1111653,83,3,3,2012-11-23,2012-11-23,,,," ? ??????"
5017,1111741,11,14,14,2012-07-20,2011-10-27,,,," ? ??????"
5018,1111901,78,14,14,2012-06-07,2012-03-23,,,," ? ??????"
5019,1111931,21,6,6,2013-04-17,2013-04-17,,,," ? ??????"
5020,1111981,78,14,14,2012-06-07,2012-04-30,,,," ? ??????"
5021,1111982,78,14,14,2012-06-07,2012-04-30,,,," ? ??????"
5022,1111991,19,13,13,2012-06-26,2012-06-07,7841/101//12-1255,,," ? ??????"
5023,1112021,19,13,13,2012-06-26,2012-06-07,7841/101/12-1257,,," ? ??????"
5024,1112031,19,13,13,2012-06-26,2012-06-07,7841/101/12-1256,,," ? ??????"
5025,1112071,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5026,1112191,49,20,20,2013-09-05,2013-09-05,,,," ? ??????"
5027,1112201,78,14,14,2012-06-07,2012-02-15,,,," ? ??????"
5028,1112211,78,14,14,2012-06-07,2012-01-31,,,," ? ??????"
5029,1112221,10,14,14,2012-07-24,2012-06-13,,,," ? ??????"
5030,1112301,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5031,1112311,11,14,14,2012-07-20,2012-01-20,,,," ? ??????"
5032,1112401,11,14,14,2012-07-20,2011-10-31,,,," ? ??????"
5033,1112411,11,14,14,2012-07-20,2011-11-08,,,," ? ??????"
5034,1112421,78,14,14,2012-06-07,2012-02-15,,,," ? ??????"
5035,1112431,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5036,1112441,10,13,13,2012-06-20,2012-06-18,,,," ? ??????"
5037,1112461,78,14,14,2012-06-07,2012-02-15,,,," ? ??????"
5038,1112471,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5039,1112481,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5040,1112491,78,14,14,2012-06-07,2012-02-20,,,," ? ??????"
5041,1112501,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5042,1112511,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5043,1112531,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5044,1112541,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5045,1112551,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5046,1112561,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
5047,1112571,11,14,14,2012-07-20,2011-10-03,,,," ? ??????"
5048,1112601,78,14,14,2012-06-07,2012-02-29,,,," ? ??????"
